path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135,labels
segmented_0,0.2908736669035234,0.5730611182568496,5.325580791109535,715816961.0000707,5592321.000000445,0.2908736669035234,0.021190501194292926,0.284839341101003,0.5432789321935293,5.4301083531123675,715816960.9999143,5592320.999999577,0.284839341101003,-0.005565041465161687,0.3554408710240092,0.6728526209705223,5.181620197196694,715816960.9998201,5592321.000000386,0.3554408710240092,0.3815574074294479,0.28104769818492165,0.5378284122984286,5.41979371383663,715816960.9999804,5592321.000000543,0.28104769818492165,-0.03416623338536237,hasil/segmentasi
segmented_1,0.6295321277363082,0.8127363604282871,2.7312965127459745,715816960.9999673,5592321.000000117,0.6295321277363082,0.20461276011348103,0.5975233859629133,0.7755832732992028,2.8331135767356916,715816961.0000243,5592321.000000074,0.5975233859629133,0.059314513115628464,0.6360901002342244,0.8188554365446481,2.7016120793077905,715816960.9999653,5592321.000000423,0.6360901002342244,0.3747255676397479,0.6157500200703373,0.7888738931891207,2.8100767673322737,715816961.0000231,5592320.9999995865,0.6157500200703373,0.1568036794659668,hasil/segmentasi
segmented_10,0.43416245240243423,0.7111798509173036,4.5310334585334235,715816960.999933,5592321.000000454,0.43416245240243423,0.420438167978121,0.36273058505627576,0.6046818933735119,4.732084368644739,715816961.0000119,5592320.999999842,0.36273058505627576,-0.0019155874779900205,0.37262782758112345,0.6290779824675892,4.67868369227367,715816960.9999396,5592321.000000213,0.37262782758112345,0.01909304188703165,0.35854109765075765,0.6010862595603272,4.722525600887127,715816961.0000459,5592321.00000027,0.35854109765075765,-0.043541067234423664,hasil/segmentasi
segmented_100,0.2265990623444339,0.5232684312081892,6.1469702887402,715816961.0000668,5592320.9999995995,0.2265990623444339,0.08802920870776625,0.20839128653369157,0.46724401646992425,6.236711657680611,715816960.9999036,5592321.000000452,0.20839128653369157,0.031004359716836637,0.2462904166699063,0.561379519112129,6.122314542338048,715816961.0001153,5592321.0000002105,0.2462904166699063,0.25238714151453356,0.2076886194031281,0.46520883743101854,6.241330134391194,715816960.9998864,5592320.999999414,0.2076886194031281,-0.014161329679883459,hasil/segmentasi
segmented_101,0.16690056340465567,0.4726591227210328,6.92422044251127,715816960.9998575,5592320.999999713,0.16690056340465567,0.03347148020477184,0.14822119588612986,0.3964635332700173,7.079151911421478,715816960.9997697,5592321.000000656,0.14822119588612986,-0.07376794891455417,0.1844658030869892,0.511911283142949,6.936431245308646,715816960.9999586,5592321.000000162,0.1844658030869892,0.2202857101561857,0.14458850844336257,0.39027897622844077,7.051314382680026,715816960.9999408,5592321.000000426,0.14458850844336257,-0.08876231444544734,hasil/segmentasi
segmented_102,0.3050549020833174,0.5967498213773665,5.641715221764974,715816960.9998767,5592321.0000004,0.3050549020833174,0.18597222076946762,0.30050627428678967,0.5632670706487991,5.78426435966876,715816960.9999012,5592321.00000041,0.30050627428678967,0.2467766217431628,0.29225836178792014,0.5768414210623493,5.66410879349703,715816960.99994,5592321.000001488,0.29225836178792014,0.16637611428173701,0.25824040207896415,0.5131968572592156,5.692258028465317,715816960.9999934,5592320.99999967,0.25824040207896415,-0.08942050723020954,hasil/segmentasi
segmented_103,0.12323913519617671,0.4284643870277947,7.674122318255363,715816960.9999818,5592320.999999975,0.12323913519617671,0.11801351672322762,0.10177611741014142,0.335589669116924,7.752752436928605,715816961.0000607,5592320.999999445,0.10177611741014142,-0.08591264556021193,0.1148038105584856,0.4030241767389404,7.652705364155236,715816960.9999475,5592321.000000621,0.1148038105584856,0.03397128058783736,0.10494576190931106,0.34444865736881874,7.773276254525561,715816961.0000143,5592320.999999931,0.10494576190931106,-0.027730346342380672,hasil/segmentasi
segmented_104,0.19158318804699773,0.5249546074295601,6.7230594943501405,715816961.0001316,5592321.000000118,0.19158318804699773,0.2296138547272743,0.1485535565554509,0.3946898560651076,6.836938533735556,715816960.999929,5592320.999999923,0.1485535565554509,-0.11319683134825445,0.16343308041302104,0.45931580815069445,6.715417421824264,715816961.0000647,5592320.999999085,0.16343308041302104,-0.033074368230559814,0.14832308811453107,0.3949814338204708,6.828286989010234,715816960.9999484,5592321.000000576,0.14832308811453107,-0.12599976948175062,hasil/segmentasi
segmented_105,0.14791195484288636,0.5077848068795111,7.746922929705164,715816960.9998568,5592320.999999861,0.14791195484288636,0.289767498113779,0.08979948820423972,0.30867589623856506,7.765103526356989,715816960.9999813,5592321.000000903,0.08979948820423972,-0.11840375865810734,0.09243794491819667,0.34802925223418907,7.607458314012929,715816960.9998811,5592321.0000003595,0.09243794491819667,-0.09687997625332068,0.08863762619692062,0.3063342163329335,7.746703520233752,715816960.9999375,5592321.0000006715,0.08863762619692062,-0.1403301204036359,hasil/segmentasi
segmented_106,0.12357386874882169,0.4502687300653045,7.896735846934556,715816961.0000104,5592321.0000005225,0.12357386874882169,0.19200994870902113,0.08383760786581392,0.3024141000542421,7.859404657115713,715816960.9998541,5592321.000000382,0.08383760786581392,-0.1357253203522042,0.09463266703185963,0.3631915307661183,7.800308278373227,715816960.9998945,5592320.999999536,0.09463266703185963,-0.019170148354525147,0.09930966310896183,0.3380731117342804,8.072396495062174,715816960.9998615,5592320.99999957,0.09930966310896183,0.01425154921340307,hasil/segmentasi
